capability_id,topic_id,topic_name,framework_sensitivity
CAO-14-001,TOPIC-14-001,"Accounting Research / Applicable Guidance Identification / Accounting Literature Hierarchy Assessment",M
CAO-14-002,TOPIC-14-001,"Accounting Research / Applicable Guidance Identification / Accounting Literature Hierarchy Assessment",M
CAO-14-003,TOPIC-14-001,"Accounting Research / Applicable Guidance Identification / Accounting Literature Hierarchy Assessment",M
CAO-14-004,TOPIC-14-002,"Framework Comparison / Guidance-to-Facts Application / Alternative Accounting Treatment Analysis",M
CAO-14-005,TOPIC-14-002,"Framework Comparison / Guidance-to-Facts Application / Alternative Accounting Treatment Analysis",M
CAO-14-006,TOPIC-14-002,"Framework Comparison / Guidance-to-Facts Application / Alternative Accounting Treatment Analysis",M
CAO-14-007,TOPIC-14-003,"Technical Accounting Consultation / Accounting Memo Writing / Technical Accounting Position Paper",M
CAO-14-008,TOPIC-14-003,"Technical Accounting Consultation / Accounting Memo Writing / Technical Accounting Position Paper",M
CAO-14-009,TOPIC-14-003,"Technical Accounting Consultation / Accounting Memo Writing / Technical Accounting Position Paper",M
CAO-14-010,TOPIC-14-004,"Judgment Paper Writing / Estimate Methodology Paper / Accounting Policy Writing",H
CAO-14-011,TOPIC-14-004,"Judgment Paper Writing / Estimate Methodology Paper / Accounting Policy Writing",H
CAO-14-012,TOPIC-14-004,"Judgment Paper Writing / Estimate Methodology Paper / Accounting Policy Writing",H
CAO-14-013,TOPIC-14-005,"Process Narrative Writing / SOP Writing / Control Documentation Writing",L
CAO-14-014,TOPIC-14-005,"Process Narrative Writing / SOP Writing / Control Documentation Writing",L
CAO-14-015,TOPIC-14-005,"Process Narrative Writing / SOP Writing / Control Documentation Writing",L
CAO-14-016,TOPIC-14-006,"Audit Support Paper Writing / Disclosure Checklist Documentation",M
CAO-14-017,TOPIC-14-006,"Audit Support Paper Writing / Disclosure Checklist Documentation",M
CAO-14-018,TOPIC-14-007,"Executive / Audit Committee Accounting Summary / Accounting Conclusion Challenge",M
CAO-14-019,TOPIC-14-007,"Executive / Audit Committee Accounting Summary / Accounting Conclusion Challenge",M
CAO-14-020,TOPIC-14-008,"Technical Documentation Quality Review / Accounting Citation & Evidence Traceability",M
CAO-14-021,TOPIC-14-008,"Technical Documentation Quality Review / Accounting Citation & Evidence Traceability",M
CAO-15-001,TOPIC-15-001,"Accounting Policy Selection / Accounting Policy Change / Accounting Policy Governance",H
CAO-15-002,TOPIC-15-001,"Accounting Policy Selection / Accounting Policy Change / Accounting Policy Governance",H
CAO-15-003,TOPIC-15-001,"Accounting Policy Selection / Accounting Policy Change / Accounting Policy Governance",H
CAO-15-004,TOPIC-15-002,"Accounting Policy Inventory / Accounting Estimate Identification / Accounting Estimate Methodology",H
CAO-15-005,TOPIC-15-002,"Accounting Policy Inventory / Accounting Estimate Identification / Accounting Estimate Methodology",H
CAO-15-006,TOPIC-15-002,"Accounting Policy Inventory / Accounting Estimate Identification / Accounting Estimate Methodology",H
CAO-15-007,TOPIC-15-003,"Change in Accounting Estimate / Significant Judgment Identification",H
CAO-15-008,TOPIC-15-003,"Change in Accounting Estimate / Significant Judgment Identification",H
CAO-15-009,TOPIC-15-004,"Significant Judgment Documentation / Estimation Uncertainty Assessment",H
CAO-15-010,TOPIC-15-004,"Significant Judgment Documentation / Estimation Uncertainty Assessment",H
CAO-15-011,TOPIC-15-005,"Materiality Assessment / Performance Materiality Support",H
CAO-15-012,TOPIC-15-005,"Materiality Assessment / Performance Materiality Support",H
CAO-15-013,TOPIC-15-006,"Error-versus-Estimate-versus-Policy Change Assessment / Accounting Election Assessment",H
CAO-15-014,TOPIC-15-006,"Error-versus-Estimate-versus-Policy Change Assessment / Accounting Election Assessment",H
CAO-15-015,TOPIC-15-007,"Policy Exception Assessment / Consistency of Accounting Application Review",H
CAO-15-016,TOPIC-15-007,"Policy Exception Assessment / Consistency of Accounting Application Review",H
CAO-15-017,TOPIC-15-008,"Critical Accounting Estimate Disclosure Support / Critical Judgment Disclosure Support",H
CAO-15-018,TOPIC-15-008,"Critical Accounting Estimate Disclosure Support / Critical Judgment Disclosure Support",H
CAO-16-001,TOPIC-16-001,"Regulatory Reporting Applicability Assessment / Filing Requirement Calendar / Public Company Reporting Readiness",J
CAO-16-002,TOPIC-16-001,"Regulatory Reporting Applicability Assessment / Filing Requirement Calendar / Public Company Reporting Readiness",J
CAO-16-003,TOPIC-16-001,"Regulatory Reporting Applicability Assessment / Filing Requirement Calendar / Public Company Reporting Readiness",J
CAO-16-004,TOPIC-16-002,"Annual Filing Accounting Support / Interim Filing Accounting Support",J
CAO-16-005,TOPIC-16-002,"Annual Filing Accounting Support / Interim Filing Accounting Support",J
CAO-16-006,TOPIC-16-003,"Regulatory Financial Statement Requirements / XBRL / Structured Reporting Accounting Review",J
CAO-16-007,TOPIC-16-003,"Regulatory Financial Statement Requirements / XBRL / Structured Reporting Accounting Review",J
CAO-16-008,TOPIC-16-004,"Regulatory Disclosure Controls / Filing Tie-Out & Consistency Review",J
CAO-16-009,TOPIC-16-004,"Regulatory Disclosure Controls / Filing Tie-Out & Consistency Review",J
CAO-16-010,TOPIC-16-005,"Regulator Comment / Query Accounting Support / Local Statutory Filing Coordination",J
CAO-16-011,TOPIC-16-005,"Regulator Comment / Query Accounting Support / Local Statutory Filing Coordination",J
CAO-16-012,TOPIC-16-006,"Entity-Level Regulatory Reporting Assessment / Regulatory Capital Accounting Interface",J
CAO-16-013,TOPIC-16-006,"Entity-Level Regulatory Reporting Assessment / Regulatory Capital Accounting Interface",J
CAO-16-014,TOPIC-16-007,"Industry Regulatory Reporting Accounting Interface / Regulatory Reporting Change Impact Assessment",J
CAO-16-015,TOPIC-16-007,"Industry Regulatory Reporting Accounting Interface / Regulatory Reporting Change Impact Assessment",J
CAO-17-001,TOPIC-17-001,"Sustainability Reporting Applicability Assessment / Sustainability Reporting Boundary Assessment / Sustainability Materiality Assessment Support",J
CAO-17-002,TOPIC-17-001,"Sustainability Reporting Applicability Assessment / Sustainability Reporting Boundary Assessment / Sustainability Materiality Assessment Support",J
CAO-17-003,TOPIC-17-001,"Sustainability Reporting Applicability Assessment / Sustainability Reporting Boundary Assessment / Sustainability Materiality Assessment Support",J
CAO-17-004,TOPIC-17-002,"Climate Financial Risk Reporting Connectivity / Sustainability Data Governance",J
CAO-17-005,TOPIC-17-002,"Climate Financial Risk Reporting Connectivity / Sustainability Data Governance",J
CAO-17-006,TOPIC-17-003,"Sustainability Reporting Controls / Sustainability Metric Accounting Reconciliation",J
CAO-17-007,TOPIC-17-003,"Sustainability Reporting Controls / Sustainability Metric Accounting Reconciliation",J
CAO-17-008,TOPIC-17-004,"GHG Information Dependency Assessment / Sustainability Disclosure Preparation Support",J
CAO-17-009,TOPIC-17-004,"GHG Information Dependency Assessment / Sustainability Disclosure Preparation Support",J
CAO-17-010,TOPIC-17-005,"Sustainability-to-Financial-Statements Connectivity Review / Climate Assumptions Consistency Review",J
CAO-17-011,TOPIC-17-005,"Sustainability-to-Financial-Statements Connectivity Review / Climate Assumptions Consistency Review",J
CAO-17-012,TOPIC-17-006,"Sustainability Assurance Readiness / Sustainability Evidence & Lineage",J
CAO-17-013,TOPIC-17-006,"Sustainability Assurance Readiness / Sustainability Evidence & Lineage",J
CAO-17-014,TOPIC-17-007,"Sustainability Reporting Systems Requirements / Sustainability Reporting Change Impact Assessment",J
CAO-17-015,TOPIC-17-007,"Sustainability Reporting Systems Requirements / Sustainability Reporting Change Impact Assessment",J
